datetime,close,high,low,open,volume,ticker,ingestion_time
2026-04-01 13:30:00+00:00,371.94000244140625,373.989990234375,370.3299865722656,373.1600036621094,1876848,MSFT,2026-04-08 20:43:45.711383
2026-04-01 13:31:00+00:00,371.4599914550781,372.06500244140625,370.29998779296875,371.8200988769531,228448,MSFT,2026-04-08 20:43:45.711383
2026-04-01 13:32:00+00:00,372.07000732421875,372.07000732421875,371.3299865722656,371.3800964355469,137549,MSFT,2026-04-08 20:43:45.711383
2026-04-01 13:33:00+00:00,372.8399963378906,372.8699951171875,371.8349914550781,372.06500244140625,162395,MSFT,2026-04-08 20:43:45.711383
2026-04-01 13:34:00+00:00,372.7650146484375,373.1600036621094,372.4700012207031,372.8699951171875,137382,MSFT,2026-04-08 20:43:45.711383
2026-04-01 13:35:00+00:00,372.05999755859375,372.7850036621094,371.6400146484375,372.7850036621094,194039,MSFT,2026-04-08 20:43:45.711383
2026-04-01 13:36:00+00:00,372.0299987792969,372.2699890136719,371.78009033203125,372.06500244140625,152587,MSFT,2026-04-08 20:43:45.711383
2026-04-01 13:37:00+00:00,371.7300109863281,372.114990234375,371.510009765625,372.010009765625,135181,MSFT,2026-04-08 20:43:45.711383
2026-04-01 13:38:00+00:00,372.42999267578125,372.6199951171875,371.6400146484375,371.7300109863281,186683,MSFT,2026-04-08 20:43:45.711383
2026-04-01 13:39:00+00:00,372.44500732421875,372.7300109863281,372.239990234375,372.42999267578125,163757,MSFT,2026-04-08 20:43:45.711383
2026-04-01 13:40:00+00:00,372.04998779296875,372.4800109863281,371.69000244140625,372.43060302734375,158000,MSFT,2026-04-08 20:43:45.711383
2026-04-01 13:41:00+00:00,371.0199890136719,372.19000244140625,370.8900146484375,372.07000732421875,168407,MSFT,2026-04-08 20:43:45.711383
2026-04-01 13:42:00+00:00,370.2200012207031,371.44000244140625,369.7300109863281,370.9949951171875,220615,MSFT,2026-04-08 20:43:45.711383
2026-04-01 13:43:00+00:00,369.25,370.36260986328125,369.04998779296875,370.2149963378906,152138,MSFT,2026-04-08 20:43:45.711383
2026-04-01 13:44:00+00:00,369.3340148925781,369.5150146484375,369.0899963378906,369.29998779296875,124852,MSFT,2026-04-08 20:43:45.711383
2026-04-01 13:45:00+00:00,368.885009765625,369.79998779296875,368.8299865722656,369.3900146484375,176010,MSFT,2026-04-08 20:43:45.711383
2026-04-01 13:46:00+00:00,369.06500244140625,369.2900085449219,368.79998779296875,368.8699951171875,111920,MSFT,2026-04-08 20:43:45.711383
2026-04-01 13:47:00+00:00,368.70001220703125,369.3800048828125,368.70001220703125,369.1199951171875,116803,MSFT,2026-04-08 20:43:45.711383
2026-04-01 13:48:00+00:00,368.6400146484375,369.0199890136719,368.20001220703125,368.6600036621094,163786,MSFT,2026-04-08 20:43:45.711383
2026-04-01 13:49:00+00:00,369.0,369.1000061035156,368.4700927734375,368.6400146484375,101226,MSFT,2026-04-08 20:43:45.711383
2026-04-01 13:50:00+00:00,369.04998779296875,369.159912109375,368.67999267578125,369.0150146484375,102226,MSFT,2026-04-08 20:43:45.711383
2026-04-01 13:51:00+00:00,369.6000061035156,369.989990234375,369.06500244140625,369.07000732421875,128992,MSFT,2026-04-08 20:43:45.711383
2026-04-01 13:52:00+00:00,369.9649963378906,370.25,369.4599914550781,369.55999755859375,130646,MSFT,2026-04-08 20:43:45.711383
2026-04-01 13:53:00+00:00,370.14990234375,370.30999755859375,369.8500061035156,369.92999267578125,73439,MSFT,2026-04-08 20:43:45.711383
2026-04-01 13:54:00+00:00,369.69000244140625,370.1799011230469,369.6300048828125,370.0350036621094,78523,MSFT,2026-04-08 20:43:45.711383
2026-04-01 13:55:00+00:00,369.1600036621094,369.739990234375,368.8999938964844,369.739990234375,135266,MSFT,2026-04-08 20:43:45.711383
2026-04-01 13:56:00+00:00,369.1600036621094,369.43939208984375,368.9100036621094,369.1650085449219,63572,MSFT,2026-04-08 20:43:45.711383
2026-04-01 13:57:00+00:00,369.57000732421875,369.82501220703125,369.1199951171875,369.12640380859375,91585,MSFT,2026-04-08 20:43:45.711383
2026-04-01 13:58:00+00:00,369.7149963378906,369.7699890136719,369.25,369.6400146484375,111822,MSFT,2026-04-08 20:43:45.711383
2026-04-01 13:59:00+00:00,369.6300048828125,369.69500732421875,369.1000061035156,369.67999267578125,81123,MSFT,2026-04-08 20:43:45.711383
2026-04-01 14:00:00+00:00,369.9700012207031,370.2900085449219,369.45001220703125,369.5950012207031,102404,MSFT,2026-04-08 20:43:45.711383
2026-04-01 14:01:00+00:00,370.5899963378906,370.6499938964844,369.92999267578125,369.964111328125,74227,MSFT,2026-04-08 20:43:45.711383
2026-04-01 14:02:00+00:00,370.92999267578125,370.94500732421875,370.5600891113281,370.67999267578125,81858,MSFT,2026-04-08 20:43:45.711383
2026-04-01 14:03:00+00:00,370.79998779296875,371.3900146484375,370.7401123046875,370.9700012207031,85687,MSFT,2026-04-08 20:43:45.711383
2026-04-01 14:04:00+00:00,370.79998779296875,371.0639953613281,370.5849914550781,370.79998779296875,79506,MSFT,2026-04-08 20:43:45.711383
2026-04-01 14:05:00+00:00,371.0,371.16229248046875,370.760009765625,370.82000732421875,68391,MSFT,2026-04-08 20:43:45.711383
2026-04-01 14:06:00+00:00,370.69000244140625,371.04669189453125,370.3999938964844,371.04669189453125,91346,MSFT,2026-04-08 20:43:45.711383
2026-04-01 14:07:00+00:00,370.8299865722656,371.1925048828125,370.6499938964844,370.69000244140625,84492,MSFT,2026-04-08 20:43:45.711383
2026-04-01 14:08:00+00:00,370.8900146484375,370.965087890625,370.42999267578125,370.8599853515625,72447,MSFT,2026-04-08 20:43:45.711383
2026-04-01 14:09:00+00:00,370.5400085449219,370.8901062011719,370.29998779296875,370.8901062011719,64833,MSFT,2026-04-08 20:43:45.711383
2026-04-01 14:10:00+00:00,370.427490234375,370.739990234375,370.2799987792969,370.6400146484375,98927,MSFT,2026-04-08 20:43:45.711383
2026-04-01 14:11:00+00:00,370.4100036621094,370.6000061035156,370.2900085449219,370.364990234375,73694,MSFT,2026-04-08 20:43:45.711383
2026-04-01 14:12:00+00:00,370.7200012207031,370.8299865722656,370.30999755859375,370.4049987792969,55202,MSFT,2026-04-08 20:43:45.711383
2026-04-01 14:13:00+00:00,370.8999938964844,370.9800109863281,370.5899963378906,370.7449951171875,54229,MSFT,2026-04-08 20:43:45.711383
2026-04-01 14:14:00+00:00,371.17498779296875,371.239990234375,370.75,370.8399963378906,83986,MSFT,2026-04-08 20:43:45.711383
2026-04-01 14:15:00+00:00,371.54998779296875,371.6050109863281,371.05999755859375,371.1700134277344,67721,MSFT,2026-04-08 20:43:45.711383
2026-04-01 14:16:00+00:00,371.5212097167969,371.6199951171875,371.29998779296875,371.6199951171875,65406,MSFT,2026-04-08 20:43:45.711383
2026-04-01 14:17:00+00:00,371.82110595703125,371.8800048828125,371.41009521484375,371.5050048828125,71555,MSFT,2026-04-08 20:43:45.711383
2026-04-01 14:18:00+00:00,371.92999267578125,372.0299987792969,371.6099853515625,371.80999755859375,61735,MSFT,2026-04-08 20:43:45.711383
